text,hashtags,date,user,users number of followers,location
"hey guys! so i tested positive for COVID-19 and was wondering if i could get some prayers? im sure i’ll be fine but it just sucks and i feel kinda bad and i just need prayers that i don’t start to feel worse❤️
",[],2020-10-16 00:09:41,R0MSHA,790,Sasha and The Shield🖤
"What a guy.
",[],2020-10-16 00:09:41,heterochromicp1,142,Hellworld
"Coronavirus: UAE registers 1,431 cases, highest daily COVID-19 tally since outbreak - https://t.co/jgP4KNtWbQ
",[],2020-10-16 00:09:41,readmoreabout,11,
"The testing/COVID-19 questions are pointless. Where are the questions that matter to voters? #Debates2020
",['Debates2020'],2020-10-16 00:09:42,DiablitoDeOro,37,"Cincinnati, OH"
"Did she ask did grieving military families gave him covid, thats low..
",[],2020-10-16 00:09:42,Steve5_0,3092,
"Brazilian senator caught with money in his underwear during investigation of missing COVID funding https://t.co/WvtL5hg2I2
",[],2020-10-16 00:09:42,NewsweekCulture,245,
"Jesus christ what an asshole
",[],2020-10-16 00:09:43,NE_AD50,221,
"@DH2McLaurin He doesn’t know if he took a COVID test the day of the debate
",[],2020-10-16 00:09:43,THEGOAT2TERRY,755,
"I flipped from Biden to trump for the heck of it. Oh, boy big mistake! Trump was telling town hall that he saw a study that you catch covid from masks... back to Biden, now.
",[],2020-10-16 00:09:43,Yangoon,147,"Boston & Cooperstown,NY"
"@LaraLeaTrump @realDonaldTrump 222,689 deaths 8,214,546 covid cases, 1000 Americans dying every day from the Trump virus, 'it is what it is' Trump has covid is fake news so that he doesn't have to debate Biden again and talk about his non payment of tax and his fake ballot boxes.
",[],2020-10-16 00:09:43,jordangareth04,4,
"@AriFleischer @JohnCornyn It’s called Covid and trump is spreading it around like Halloween candy so whatever.
",[],2020-10-16 00:09:44,JazzyEBerry,2280,"Chicago, IL"
".@dcexaminer reveals Republican.@BenSasse conversation with constituent- gives Trump a well-deserved slap! .@OWHnews .@CJOnline .@wibw .@Channel8ABC .@capitaljournal .@RCJournal .@argusleader .@Argus911 .@bhpioneer .@3NewsNowOmaha .@KETV .@LincolnBerean .@fbclincoln .@CTmagazine
",[],2020-10-16 00:09:44,RaisingTheHustl,1295,"Chicago, IL"
"#BidenTownHall Enough w the 💩COVID-19 word salad (of everything Trump &amp; the states already did, you old fool) #WheresHunter #HunterBidenEmails ... #HunterBidensUkraineScandal  #HunterBidensLaptop
",['BidenTownHall'],2020-10-16 00:09:44,Stichtag,8897,Texas
